asset_unique,symb_assets,type_assets,F1,F2,F3,cluster
CAFENATL_INDEX_CAFEN,CAFEN,Commodity,-0.335529567,-0.007645513,-0.990675044,3
CKEL_COMDTY_CKEL_,CKEL_,Commodity,-0.492113516,-0.113746536,-0.674126109,3
COTNMAVG_INDEX_COTNM,COTNM,Commodity,-0.591669099,-0.458367666,1.216503609,7
DIEINULP_INDEX_DIEIN,DIEIN,Commodity,-0.405819757,-0.096718747,-0.8134734,3
EUCRBRDT_INDEX_EUCRB,EUCRB,Commodity,-0.401519184,-0.236744039,-0.756219243,3
HOGSNATL_INDEX_HOGSN,HOGSN,Commodity,-0.487503897,-0.489729012,2.103003827,6
LMAHDY_COMDTY_LMAHD,LMAHD,Commodity,-0.665693657,-0.529831631,-0.252127782,1
LMCADY_COMDTY_LMCAD,LMCAD,Commodity,-0.619345191,-0.405133359,0.191241072,1
MCXTINI_COMDTY_MCXTI,MCXTI,Commodity,-0.265555961,3.617206783,0.865155497,8
MLCXCCSP_INDEX_MLCXC,MLCXC,Commodity,-0.562219021,-0.369182622,-0.445527211,3
NGUSHHUB_INDEX_NGUSH,NGUSH,Commodity,0.298129064,0.109529898,0.537391758,7
RBOB87PM_INDEX_RBOB8,RBOB8,Commodity,-0.351461076,-0.302326266,-0.79265735,3
SOYBCH1Y_INDEX_SOYBC,SOYBC,Commodity,-0.603686373,-0.107917116,-0.589637203,3
SPGSLC_INDEX_SPGSL,SPGSL,Commodity,-0.661734494,-0.305982758,-0.943807132,3
USCRWTIC_INDEX_USCRW,USCRW,Commodity,-0.361609128,-0.199151828,-0.7830187,3
WEATTKHR_INDEX_WEATT,WEATT,Commodity,-0.528387229,-0.68081478,0.671505347,7
XAG_CURNCY_XAG_C,XAG_C,Commodity,-0.553468799,-0.066670194,-0.860801909,3
XAU_CURNCY_XAU_C,XAU_C,Commodity,-0.691405762,-0.32060985,-0.83621677,3
XPT_CURNCY_XPT_C,XPT_C,Commodity,-0.671032755,-0.601770618,0.759143842,7
ZSDY_COMDTY_ZSDY_,ZSDY_,Commodity,-0.61210006,-0.543495433,-0.441373453,3
Bitcoin_BTC,BTC,Crypto,0.287650511,0.285276264,-0.471319904,3
Dogecoin_DOGE,DOGE,Crypto,1.17370764,-0.447530608,0.254774572,4
FLO_FLO,FLO,Crypto,2.196801298,-0.695905409,-0.147263462,10
Feathercoin_FTC,FTC,Crypto,2.030254321,-0.298453323,0.735764242,4
Litecoin_LTC,LTC,Crypto,0.820805749,0.098878067,-0.458320375,10
Namecoin_NMC,NMC,Crypto,1.601470603,0.588416648,0.545807934,5
Nxt_NXT,NXT,Crypto,1.288529468,-0.331220947,0.024266392,10
Peercoin_PPC,PPC,Crypto,0.998456924,-0.176774557,-0.142171014,10
Primecoin_XPM,XPM,Crypto,1.451087891,-0.480593801,-0.208073996,10
XRP_XRP,XRP,Crypto,0.93718335,-0.449083754,0.725574591,4
Vertcoin_VTC,VTC,Crypto,2.075128588,-0.95023026,-0.049106427,10
DigiByte_DGB,DGB,Crypto,1.861753464,-0.626288126,-0.527853214,10
ReddCoin_RDD,RDD,Crypto,2.500647896,-0.538943004,0.093280877,10
Dash_DASH,DASH,Crypto,1.231464219,-0.303483979,0.38228433,4
BlackCoin_BLK,BLK,Crypto,1.806673888,-0.508375821,-0.153999185,10
MonaCoin_MONA,MONA,Crypto,1.602385621,-0.202919078,-0.604194792,10
Gulden_NLG,NLG,Crypto,1.417819729,-0.453458159,1.114549105,4
Einsteinium_EMC2,EMC2,Crypto,2.045258928,-0.875811549,-0.961653217,10
Groestlcoin_GRS,GRS,Crypto,2.879840102,-0.554276577,-0.808733449,10
WhiteCoin_XWC,XWC,Crypto,2.347731368,-0.681721494,0.870021188,4
MaidSafeCoin_MAID,MAID,Crypto,0.838889432,-0.444301245,-1.009876529,10
Monero_XMR,XMR,Crypto,1.042539738,-0.456545025,-0.370385853,10
NavCoin_NAV,NAV,Crypto,2.504134506,-0.394374424,-0.285338865,10
Bytecoin_BCN,BCN,Crypto,1.986187414,-0.902500332,0.020696175,10
Boolberry_BBR,BBR,Crypto,2.448038218,-0.584525775,-0.263391395,10
DigitalNote_XDN,XDN,Crypto,2.02577054,-0.954569274,-0.820013375,10
Viacoin_VIA,VIA,Crypto,1.754839219,-0.747485621,-0.289412894,10
BitShares_BTS,BTS,Crypto,1.230017623,-0.388606459,1.37318156,4
Stellar_XLM,XLM,Crypto,1.225634405,-0.723968313,0.121604475,10
Syscoin_SYS,SYS,Crypto,1.741695802,-0.391016594,0.807159001,4
Emercoin_EMC,EMC,Crypto,2.721534353,0.247077547,0.106400695,10
Clams_CLAM,CLAM,Crypto,1.975563724,0.038226472,0.079840293,10
Burst_BURST,BURST,Crypto,1.612138982,-0.552921677,0.421179491,4
GameCredits_GAME,GAME,Crypto,4.006122372,0.656746279,-0.460503998,5
Ubiq_UBQ,UBQ,Crypto,1.8930208,1.590263469,0.437764042,5
bitCNY_BITCN,BITCN,Crypto,1.763214198,3.005225387,-0.735344074,5
Verge_XVG,XVG,Crypto,3.354569016,-0.223460064,-0.520012069,10
Blocknet_BLOCK,BLOCK,Crypto,2.2760264,-0.547061178,0.569883054,4
OKCash_OK,OK,Crypto,3.22278149,-0.462017091,2.185869181,4
Nexus_NXS,NXS,Crypto,2.137225167,-0.436941077,-0.415549305,10
Tether_USDT,USDT,Crypto,0.24433918,13.73887797,-1.107684144,2
NEM_XEM,XEM,Crypto,1.327894921,-0.926515703,-0.23055503,10
Aeon_AEON,AEON,Crypto,2.1449649,-0.812441953,-0.794827589,10
Ethereum_ETH,ETH,Crypto,1.150903191,1.960501494,-0.116170433,5
Siacoin_SC,SC,Crypto,1.811374793,-0.361731144,-0.48854311,10
Shift_SHIFT,SHIFT,Crypto,2.670305016,-0.417160667,-0.935199055,10
Factom_FCT,FCT,Crypto,1.478544057,-0.933021922,-0.000459385,10
Augur_REP,REP,Crypto,1.328911924,-0.213140369,-0.394722742,10
Decred_DCR,DCR,Crypto,1.061435111,-0.493319032,-1.002349171,10
PIVX_PIVX,PIVX,Crypto,2.13987654,-0.609551046,-0.384680069,10
SafexToken_SFT,SFT,Crypto,3.078341809,-0.453768123,-0.659619812,10
Lisk_LSK,LSK,Crypto,2.290721071,1.842450335,0.006991494,5
DigixDAO_DGD,DGD,Crypto,1.39625987,1.427559712,0.537281393,5
Steem_STEEM,STEEM,Crypto,1.821777692,-1.479834879,2.810176544,11
Waves_WAVES,WAVES,Crypto,1.310356543,0.95734276,-0.19150817,5
LBRYCredits_LBC,LBC,Crypto,2.127224283,-0.407731511,-0.632572191,10
SteemDollars_SBD,SBD,Crypto,1.545627756,1.596716437,-0.834833126,5
EthereumClassic_ETC,ETC,Crypto,1.293478252,-0.538759854,1.593526619,4
Ardor_ARDR,ARDR,Crypto,1.21860973,-0.27407308,-0.461541093,10
Stratis_STRAT,STRAT,Crypto,1.45425385,-0.629779814,-0.464570777,10
EDCBlockchain_EDC,EDC,Crypto,3.403849532,5.907392246,2.016214936,9
NEO_NEO,NEO,Crypto,1.905481918,-0.657120138,0.0830646,10
FirstBlood_1ST,1ST,Crypto,1.946422465,-0.545633089,-0.525018762,10
PepeCash_PEPEC,PEPEC,Crypto,2.590464691,-0.434702179,-0.747007694,10
SingularDTV_SNGLS,SNGLS,Crypto,1.266684846,-0.625438104,-1.080535361,10
Zcoin_XZC,XZC,Crypto,2.195872891,0.287657234,-0.850925338,10
Zcash_ZEC,ZEC,Crypto,1.242328626,0.695682543,0.676358012,5
Golem_GNT,GNT,Crypto,1.229400251,-0.33148417,-1.08228446,10
Incent_INCNT,INCNT,Crypto,3.216900286,-1.087895202,5.173841255,11
Obyte_GBYTE,GBYTE,Crypto,1.666229835,0.137314206,-0.977793664,10
Wings_WINGS,WINGS,Crypto,1.841875715,-0.001287552,1.787033057,4
Spectrecoin_XSPEC,XSPEC,Crypto,2.289508019,-0.784870784,-0.379209677,10
Komodo_KMD,KMD,Crypto,1.935772045,0.150923028,0.843384452,4
Melon_MLN,MLN,Crypto,1.583008037,0.39799615,0.043110278,10
Nano_NANO,NANO,Crypto,2.052829044,-0.684548652,-0.742394378,10
Ark_ARK,ARK,Crypto,1.506538659,-0.823910226,-0.789410859,10
Asch_XAS,XAS,Crypto,2.600515937,-0.197011523,-0.730948264,10
Skycoin_SKY,SKY,Crypto,1.793365479,-0.684581067,-0.434467283,10
iExecRLC_RLC,RLC,Crypto,1.333884417,-0.629065098,-0.927349318,10
Bitcore_BTX,BTX,Crypto,2.832990502,0.877400894,0.900630022,5
Gnosis_GNO,GNO,Crypto,1.145963633,-0.166857507,-0.474414966,10
Aragon_ANT,ANT,Crypto,1.01156821,-0.428204332,-0.702100354,10
PRIZM_PZM,PZM,Crypto,1.771952452,-1.129137791,5.582582742,11
Qtum_QTUM,QTUM,Crypto,1.464419404,-0.132155444,-0.394408995,10
Aeternity_AE,AE,Crypto,2.323422918,1.561694892,0.692140277,5
BasicAttentionToken_BAT,BAT,Crypto,1.230188155,-0.585128759,-1.109591852,10
Horizen_ZEN,ZEN,Crypto,1.45405987,-0.650477182,0.368669905,4
MetaverseETP_ETP,ETP,Crypto,2.773432461,0.100232558,-0.336738473,10
QuantumResistantLedge_QRL,QRL,Crypto,1.554052694,-0.220688421,-0.724126136,10
IOTA_MIOTA,MIOTA,Crypto,1.295388061,-0.261018186,-0.605445141,10
Peerplays_PPY,PPY,Crypto,2.779398215,-0.198254515,-0.565610132,10
SONM_SNM,SNM,Crypto,1.461062375,-0.19019611,-0.872935236,10
ZrCoin_ZRC,ZRC,Crypto,3.042910874,2.684184115,0.846817826,5
Bancor_BNT,BNT,Crypto,1.196444008,5.010466361,0.222220176,9
Numeraire_NMR,NMR,Crypto,1.308751737,-0.489653698,-0.956315566,10
GXChain_GXC,GXC,Crypto,1.494503777,-0.126446377,-0.646496379,10
FunFair_FUN,FUN,Crypto,1.462408519,-0.181663178,-0.574884793,10
TenX_PAY,PAY,Crypto,2.889340404,10.59592793,-1.12517821,2
Status_SNT,SNT,Crypto,1.487303117,-0.779150804,-0.605508356,10
AdEx_ADX,ADX,Crypto,2.12901499,-0.808714176,-0.774738817,10
Crypto.com_MCO,MCO,Crypto,1.991780816,-0.68698058,-1.005541137,10
EOS_EOS,EOS,Crypto,1.186798655,-0.091875366,-1.132763527,10
Storj_STORJ,STORJ,Crypto,1.498659016,-0.267163474,-1.029799326,10
Wagerr_WGR,WGR,Crypto,1.580294525,-0.53545056,-0.255615357,10
Gas_GAS,GAS,Crypto,1.90401472,-1.339849868,1.600805143,4
Polybius_PLBT,PLBT,Crypto,2.17375583,-0.528255882,1.498871303,4
SunContract_SNC,SNC,Crypto,2.301158473,-0.321733438,2.79202645,11
Metal_MTL,MTL,Crypto,1.329652935,-0.376040263,-0.629748684,10
Populous_PPT,PPT,Crypto,1.261283074,-0.347902549,-0.481456629,10
SantimentNetworkToken_SAN,SAN,Crypto,1.642923694,0.080532176,-0.94642621,10
OmiseGO_OMG,OMG,Crypto,1.241215612,-0.667887013,-0.581899407,10
Civic_CVC,CVC,Crypto,1.168512653,-0.477301378,-0.829838111,10
Ethos_ETHOS,ETHOS,Crypto,1.849335139,-0.927258843,-0.517844719,10
Particl_PART,PART,Crypto,1.335112976,-0.551968442,-0.470938147,10
SmartCash_SMART,SMART,Crypto,2.76392487,-0.34322115,-0.403477362,10
BitcoinCash_BCH,BCH,Crypto,1.402809384,-0.182457745,-0.358633281,10
Pillar_PLR,PLR,Crypto,1.492589454,-0.857118502,-0.715951582,10
BinanceCoin_BNB,BNB,Crypto,1.533849652,-0.289748544,-0.260968055,10
OAX_OAX,OAX,Crypto,1.626141904,-1.085429871,1.228151275,4
district0x_DNT,DNT,Crypto,1.646723162,-0.558091515,-0.763307824,10
Blox_CDT,CDT,Crypto,1.666564505,0.519872562,-0.674465685,10
Bytom_BTM,BTM,Crypto,1.506272457,0.291000293,-0.854519997,10
Dentacoin_DCN,DCN,Crypto,2.81144402,-0.563725482,0.258917561,4
DeepOnion_ONION,ONION,Crypto,2.083942275,-0.359889332,-0.59174928,10
Dent_DENT,DENT,Crypto,2.773657709,-0.802292594,-0.474748093,10
0x_ZRX,ZRX,Crypto,1.115134661,-0.42355111,-0.735508686,10
HyperCash_HC,HC,Crypto,1.996417055,1.267703088,0.301563695,5
YOYOW_YOYOW,YOYOW,Crypto,1.852185032,0.321867175,-1.028453037,10
Achain_ACT,ACT,Crypto,2.111431874,1.548929165,0.211883017,5
Primas_PST,PST,Crypto,2.233656518,-0.325276374,-0.10287575,10
Tierion_TNT,TNT,Crypto,1.698858346,-0.485908163,-0.84494301,10
Waltonchain_WTC,WTC,Crypto,1.691806136,-0.751599486,-0.342013221,10
Loopring_LRC,LRC,Crypto,1.672475646,-0.061822603,-0.130676703,10
Po.et_POE,POE,Crypto,1.826082616,-0.43219783,-0.518902185,10
Monetha_MTH,MTH,Crypto,1.771971595,-0.607339422,-0.636316751,10
Agrello_DLT,DLT,Crypto,1.769629891,-0.429981041,-0.396529014,10
MoedaLoyaltyPoints_MDA,MDA,Crypto,1.419052241,-0.333818042,-0.834799189,10
Neblio_NEBL,NEBL,Crypto,1.813360175,-1.045898142,-0.656498843,10
TRON_TRX,TRX,Crypto,1.939272673,-0.782530591,0.060071273,10
Decentraland_MANA,MANA,Crypto,1.587150813,-1.059846046,1.244935121,4
Propy_PRO,PRO,Crypto,1.60297113,-0.502427365,-0.045304006,10
Blackmoon_BMC,BMC,Crypto,1.004335085,-0.519963375,-0.582966947,10
Chainlink_LINK,LINK,Crypto,1.176388418,-0.862895573,-0.685285594,10
KyberNetwork_KNC,KNC,Crypto,1.068482418,-0.418166439,-0.312875365,10
Substratum_SUB,SUB,Crypto,1.634459311,-0.740727918,-0.250248907,10
VIBE_VIBE,VIBE,Crypto,2.267436826,-1.49360309,0.053726191,10
Kin_KIN,KIN,Crypto,2.067143832,-0.601232573,-0.355802123,10
SALT_SALT,SALT,Crypto,1.389783499,-0.692080286,0.481848846,4
Cardano_ADA,ADA,Crypto,1.414329944,-1.149493161,-0.550704485,10
Tezos_XTZ,XTZ,Crypto,1.09151701,-0.523455699,1.127812584,4
AUD_AUD,AUD,Exchange rate,-0.771350721,-0.310440802,-1.088584575,3
CAD_CAD,CAD,Exchange rate,-0.785257578,-0.551452633,1.235975659,7
CHF_CHF,CHF,Exchange rate,-0.489590054,10.29062866,-1.89956537,2
CNY_CNY,CNY,Exchange rate,-0.666959545,0.029111095,0.389992285,1
DKK_DKK,DKK,Exchange rate,-0.7635984,-0.201066349,-1.03534517,3
EUR_EUR,EUR,Exchange rate,-0.762797926,-0.288988948,-1.021787428,3
GBP_GBP,GBP,Exchange rate,-0.724380026,0.848024384,-0.606838578,3
HKD_HKD,HKD,Exchange rate,-0.651823618,0.8469684,0.188132086,1
INR_INR,INR,Exchange rate,-0.76355888,-0.196369641,-1.074125181,3
JPY_JPY,JPY,Exchange rate,-0.725114306,0.043004172,-0.918951731,3
NOK_NOK,NOK,Exchange rate,-0.739283877,-0.506312818,0.157328308,1
NZD_NZD,NZD,Exchange rate,-0.771405315,-0.3669009,-1.115111141,3
SEK_SEK,SEK,Exchange rate,-0.763642324,-0.510514428,0.804886496,7
AlphabetIncClass_GOOG,GOOG,Stock,-0.602650982,-0.651573121,3.66315655,6
DiscoveryInc.Class_DISCK,DISCK,Stock,-0.36583237,-0.954151478,4.792843801,11
NewsCorp.Class_NWS,NWS,Stock,-0.468685956,-0.928670191,3.545176275,6
3MCompan_MMM,MMM,Stock,-0.551201194,0.771008839,-1.268347684,3
A.O.SmithCor_AOS,AOS,Stock,-0.528497246,-0.180551304,-0.229381745,1
ABIOMEDIn_ABMD,ABMD,Stock,-0.182337973,0.544358261,2.604459945,6
AESCor_AES,AES,Stock,-0.555481271,-0.255764837,-0.88785328,3
AFLACIn_AFL,AFL,Stock,-0.611521133,-0.037255205,0.210789828,1
AMETEKInc_AME,AME,Stock,-0.597251,-0.220466509,0.122582374,1
ANSY_ANSS,ANSS,Stock,-0.547727775,-0.039754901,-0.861648238,3
AT&TInc_T,T,Stock,-0.603241864,0.190819184,-0.887181009,3
AbbVieInc_ABBV,ABBV,Stock,-0.41841221,0.373867403,-0.214726632,1
AbbottLaboratorie_ABT,ABT,Stock,-0.589583237,0.175943828,-1.079801937,3
Accenturepl_ACN,ACN,Stock,-0.561105215,-0.035436539,-0.031322339,1
ActivisionBlizzar_ATVI,ATVI,Stock,-0.381784372,-0.314711734,0.872528006,7
AdobeSystemsIn_ADBE,ADBE,Stock,-0.455586904,-0.174507978,0.06840947,1
AdvanceAutoPart_AAP,AAP,Stock,-0.41805014,0.300545688,0.888705596,7
AdvancedMicroDevicesIn_AMD,AMD,Stock,0.029573008,-0.352362041,0.925628174,7
AffiliatedManagersGroupIn_AMG,AMG,Stock,-0.460111832,-0.027733376,-0.250192532,1
AgilentTechnologiesIn_A,A,Stock,-0.552073756,0.048234886,-0.214688317,1
AirProducts&ChemicalsIn_APD,APD,Stock,-0.570573698,-0.410548283,0.658627132,7
AkamaiTechnologiesIn_AKAM,AKAM,Stock,-0.37093133,0.024115301,1.213749596,7
AlaskaAirGroupIn_ALK,ALK,Stock,-0.490677037,-0.261634125,0.51195563,1
AlbemarleCor_ALB,ALB,Stock,-0.404551741,0.141470836,-0.404373478,3
AlexandriaRealEstateEquitie_ARE,ARE,Stock,-0.626353922,-0.074123133,-0.541912333,3
AlexionPharmaceutical_ALXN,ALXN,Stock,-0.365400509,-0.272547172,-0.884671441,3
AlignTechnolog_ALGN,ALGN,Stock,-0.31043926,1.190987378,-1.366156149,3
Allegio_ALLE,ALLE,Stock,-0.578287068,-0.243177085,0.026484034,1
"Allergan,Pl_AGN",AGN,Stock,-0.417659412,-0.330717267,0.457935941,1
AllianceDataSystem_ADS,ADS,Stock,-0.437577998,0.637082132,-0.845418822,3
AlliantEnergyCor_LNT,LNT,Stock,-0.665700952,-0.302414739,0.78013237,7
AllstateCor_ALL,ALL,Stock,-0.591656682,0.413621828,-1.106693659,3
AlphabetIncClass_GOOGL,GOOGL,Stock,-0.494230922,-0.505868663,-0.687168732,3
AltriaGroupIn_MO,MO,Stock,-0.555573086,0.037100992,1.028752781,7
Amazon.comInc_AMZN,AMZN,Stock,-0.379826993,-0.130369721,0.045800729,1
Amcorpl_AMCR,AMCR,Stock,-0.249307219,0.838337919,0.661568951,7
AmerenCor_AEE,AEE,Stock,-0.666604861,-0.218726676,-0.850765663,3
AmericanAirlinesGrou_AAL,AAL,Stock,-0.39882796,-0.261979517,-0.732503903,3
AmericanElectricPowe_AEP,AEP,Stock,-0.67089938,-0.144910347,-0.859162465,3
AmericanExpressC_AXP,AXP,Stock,-0.544335126,0.295549483,-0.781833853,3
AmericanInternationalGrou_AIG,AIG,Stock,-0.540956839,-0.014874969,0.470413241,1
AmericanTowerCorp_AMT,AMT,Stock,-0.62634426,-0.182551606,-0.579786102,3
AmericanWaterWorksCompanyIn_AWK,AWK,Stock,-0.66459002,-0.105383729,-0.861119448,3
AmeripriseFinancia_AMP,AMP,Stock,-0.49335883,-0.178602966,0.156436378,1
AmerisourceBergenCor_ABC,ABC,Stock,-0.4725198,0.271104954,-0.509158988,3
AmgenInc_AMGN,AMGN,Stock,-0.521758899,-0.143296295,-0.591094084,3
AmphenolCor_APH,APH,Stock,-0.579510096,0.077579673,-0.633244537,3
"AnalogDevices,Inc_ADI",ADI,Stock,-0.484904424,-0.154767056,-0.724585168,3
